FID;OBJECTID;SHAPE;WC_ID;BEZIRK;STRASSE;ORTSANGABE;AKTIV;AKTIV_TXT;OEFFNUNGSZEIT;EINSCHRAENKUNGEN;PERSONALBETREUUNG;KATEGORIE;AUSSTATTUNG;ICON;ICON_TXT;KONTAKT;ABTEILUNG;INFORMATION;SE_ANNO_CAD_DATA
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6cae;104196;POINT (16.43640493125139 48.222925446992186);M45_MWC57;22;An der unteren Alten Donau;ggü. 151;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6cad;104197;POINT (16.43637517111697 48.222927614223586);M45_MWC58;22;An der unteren Alten Donau;ggü. 151;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6cac;104198;POINT (16.436387921350086 48.22291857483477);M45_MWC71;22;An der unteren Alten Donau;ggü. 151;-1;JA;00:00-24:00 Uhr;ganzjährig ohne Einschränkungen;nein - gratis;unisex 1;;;;;;;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6cab;104199;POINT (16.412170262728615 48.23053652255695);M45_MWC79;22;Copa Beach - Skaterpark;ND km 12,5 - stromauf der Reichsbrücke;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;;;;;;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6caa;104200;POINT (16.412186138767794 48.23050992820005);M45_MWC80;22;Copa Beach - Skaterpark;ND km 12,5 - stromauf der Reichsbrücke;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;Damen 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6ca9;104201;POINT (16.412198831438324 48.230483335946936);M45_MWC81;22;Copa Beach - Skaterpark;ND km 12,5 - stromauf der Reichsbrücke;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;Herren 1;;;;;;;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6ca8;104202;POINT (16.431336720872316 48.216912003383314);M45_MWC76;22;Neue Donau;ND - km 10,3 Grillplatz 8;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;;;;;;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6ca7;104203;POINT (16.431294347920108 48.21693427866498);M45_MWC77;22;Neue Donau;ND - km 10,3 Grillplatz 8;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6ca6;104204;POINT (16.43137452982059 48.21689147564977);M45_MWC78;22;Neue Donau;ND - km 10,3 Grillplatz 8;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6ca5;104205;POINT (16.43227946725914 48.21612625209583);M45_MWC82;22;Neue Donau;ND - km 10,3 Grillplatz 8;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;;;;;;
WCANLAGE2OGD.fid-2de9d1ee_17ea1d361b7_-6ca4;104206;POINT (16.43231010246182 48.21610834617501);M45_MWC83;22;Neue Donau;ND - km 10,3 Grillplatz 8;-1;JA;00:00-24:00 Uhr;Wintersperre;nein - gratis;unisex 1;;U;Damen und Herren;0043 1 4000 96530;MA 45;https://www.wien.gv.at/umwelt/gewaesser/;
